,0
0,160709
1,139822
2,142108
3,236739
4,1498024
5,453244
6,1745104
7,1837125
8,236371
9,1527384
10,1630
11,453684
12,174305
13,618464
14,167905
15,537845
16,245718
17,140992
18,134715
19,231534
20,129093
21,1105844
22,252537
23,244924
24,200770
25,182387
26,1587964
27,438564
28,212675
29,99365
30,1031864
31,166032
32,75635
33,253048
34,575044
35,141065
36,153515
37,83523
38,235921
39,241437
40,842404
41,1421384
42,1951744
43,190018
44,1278206
45,147495
46,735184
47,146967
48,141852
49,112883
50,142829
51,1711764
52,46481
53,228375
54,970985
55,692924
56,776844
57,157242
58,153426
59,497784
60,159642
61,629685
62,1286184
63,625305
64,195671
65,148101
66,144808
67,139250
68,1766864
69,212782
70,1569008
71,697227
72,169625
73,698104
74,736084
75,1596904
76,134823
77,1081584
78,1390506
79,945304
80,150716
81,640569
82,128979
83,146029
84,67026
85,1765204
86,728024
87,161911
88,1920425
89,130519
90,68341
91,1045508
92,1574204
93,132398
94,98048
95,74370
96,219083
97,1515546
98,128351
99,135204
100,246382
101,143376
102,161292
103,145025
104,224606
105,163577
106,139175
107,859704
108,382185
109,181270
110,1388047
111,163029
112,163780
113,103259
114,124113
115,384310
116,816964
117,183701
118,1925344
119,155890
120,1198124
121,7158
122,625904
123,239173
124,1282144
125,16446
126,177056
127,149214
128,1657146
129,155892
130,49672
131,1061644
132,40574
133,169749
134,669624
135,1378585
136,359185
137,251734
138,450184
139,235268
140,90089
141,1650164
142,1214164
143,64495
144,105322
145,475404
146,786484
147,180054
148,154076
149,1506924
150,129665
151,152296
152,1388564
153,566564
154,84695
155,164566
156,146832
157,197865
158,133377
159,162877
160,748904
161,161471
162,724904
163,225039
164,419704
165,444164
166,140787
167,79496
168,136293
169,1234704
170,145093
171,213971
172,188911
173,121594
174,234252
175,1750565
176,1398286
177,1303631
178,1105324
179,199787
180,146422
181,39977
182,131049
183,100411
184,129615
185,204323
186,1213585
187,119500
188,130877
189,262782
190,1622004
191,711273
192,772125
193,868024
194,172951
195,158048
196,301924
197,1704484
198,1608164
199,474165
200,1767545
201,73217
202,210449
203,1051504
204,134166
205,133450
206,130761
207,741926
208,139151
209,772364
210,1592926
211,1645564
212,1078707
213,770387
214,424888
215,8604
216,1456224
217,344864
218,138962
219,504964
220,1483625
221,758084
222,1377564
223,657504
224,733228
225,708925
226,480024
227,1048024
228,1390524
229,134866
230,200695
231,2021
232,1497684
233,148099
234,498584
235,628684
236,135386
237,257688
238,798284
239,906525
240,272875
241,659464
242,246717
243,155382
244,72429
245,194361
246,1504924
247,944645
248,153403
249,242744
250,447324
251,129414
252,961924
253,103855
254,232688
255,67726
256,1072984
257,630224
258,415704
259,162054
260,129885
261,131542
262,1085224
263,400388
264,66218
265,82058
266,1536644
267,159637
268,77134
269,503224
270,1038186
271,193110
272,1522724
273,135713
274,174211
275,138220
276,229264
277,63795
278,242558
279,579544
280,179405
281,679584
282,147219
283,139683
284,1332864
285,122355
286,94497
287,1560664
288,1371425
289,1610327
290,1560544
291,869684
292,1238104
293,1540525
294,1738204
295,40481
296,118737
297,340546
298,1449671
299,67838
300,983224
301,276304
302,1234844
303,1424465
304,263879
305,194335
306,261000
307,157541
308,154992
309,265846
310,210257
311,1732705
312,311704
313,181002
314,488704
315,425027
316,1960645
317,202168
318,137016
319,143327
320,4
321,1662144
322,1666184
323,134984
324,481144
325,233786
326,824584
327,575104
328,75259
329,145782
330,1602344
331,251989
332,168729
333,86219
334,130982
335,1853364
336,197232
337,31608
338,1543825
339,1521750
340,61935
341,196385
342,153701
343,141086
344,581884
345,156862
346,208131
347,234759
348,136104
349,140331
350,76366
351,1207665
352,1358884
353,97092
354,137582
355,841605
356,772764
357,357924
358,1354164
359,1219805
360,263645
361,217031
362,879
363,160720
364,73677
365,770292
366,1493944
367,1182604
368,114118
369,1527304
370,1576444
371,198147
372,1611666
373,93299
374,190116
375,1168845
376,175589
377,135560
378,199492
379,197652
380,162818
381,1555824
382,1454725
383,1310706
384,168986
385,132000
386,98126
387,1360905
388,264617
389,167314
390,1397604
391,689084
392,193924
393,203977
394,1473930
395,164870
396,555631
397,198230
398,237098
399,460364
400,475284
401,1237124
402,44296
403,992624
404,1650584
405,633745
406,19208
407,135976
408,1619464
409,143772
410,187534
411,845164
412,307525
413,162137
414,169287
415,649545
416,130208
417,765424
418,1764764
419,143985
420,169940
421,1103805
422,1339024
423,69783
424,1312884
425,191567
426,253112
427,587404
428,651064
429,138964
430,156290
431,1458924
432,1778484
433,1221005
434,92163
435,247926
436,162695
437,1706964
438,128688
439,208891
440,605864
441,182695
442,139498
443,133081
444,1567005
445,262004
446,1459344
447,202656
448,1502224
449,285204
450,162308
451,1682704
452,80625
453,130358
454,1039304
455,1022984
456,780085
457,249047
458,133080
459,134050
460,190718
461,965944
462,698464
463,1617546
464,225755
465,1624207
466,230958
467,208765
468,408224
469,1238484
470,1431665
471,1665084
472,134043
473,136418
474,1855064
475,549124
476,1383206
477,1741644
478,128752
479,1150044
480,238552
481,131283
482,1760164
483,135334
484,1200184
485,133623
486,1117924
487,654804
488,192837
489,1056604
490,20548
491,323685
492,1360144
493,130549
494,28122
495,18540
496,1637384
497,605244
498,847385
499,33902
500,606264
501,200591
502,130360
503,701965
504,1607885
505,1385686
506,200371
507,1460504
508,213022
509,243958
510,134576
511,1827524
512,1618465
513,1591044
514,1086827
515,161394
516,145757
517,149390
518,137038
519,1436484
520,178960
521,82712
522,1336084
523,15832
524,487824
525,247498
526,141974
527,474391
528,193639
529,190311
530,1410807
531,1103284
532,1420544
533,81515
534,228414
535,829127
536,1345844
537,1750725
538,148151
539,713909
540,128498
541,183164
542,1470365
543,189004
544,1459104
